Lat,Long,name,Stage,Icon,MW
54.98444444,-1.516666667,A&P Tyne,Consented,measle_turquoise,
56.13972222,-5.34,AâChruach,Consented,measle_turquoise,
58.43722222,-3.191944444,"Achairn Farm, Stirkoke",Operational,small_red,6.15
58.00444444,-4.531666667,Achany Estate,Operational,small_red,38
55.31083333,-4.171111111,Afton,In planning,measle_grey,
55.92833333,-4.058333333,AG Barr Factory,Consented,measle_turquoise,
55.92666667,-2.457777778,Aikengall,Operational,small_red,48
53.68611111,-1.024722222,Aire and Calder wind farm,In planning,measle_grey,
52.23583333,-0.607777778,Airfield Farm (re-submission),In planning,measle_grey,
50.69416667,-2.179722222,Alaska Wind Farm Re-submission,In planning,measle_grey,
55.96194444,-5.447777778,Allt Dearg,Consented,measle_turquoise,
57.19861111,-3.985555556,Allt Duine,In planning,measle_grey,
51.97833333,-4.250833333,Alltwalis,Operational,small_red,23
54.96,-7.031666667,Altahullion Phase I,Operational,small_red,26
54.96055556,-7.032777778,Altahullion Phase II,Operational,small_red,11.7
54.96055556,-7.032777778,Altahullion Phase III,Consented,measle_turquoise,
54.51833333,-7.105833333,Altamuskin,Consented,measle_turquoise,
54.51833333,-7.105833333,Altamuskin Ext,In planning,measle_grey,
54.62916667,-7.665,Altgolan,In planning,measle_grey,
51.55666667,-2.510277778,Alveston,Consented,measle_turquoise,
56.21805556,-5.219166667,An Suidhe,Operational,small_red,19.3
55.5225,-3.873888889,Andershaw,In planning,measle_grey,
54.73333333,-6.182777778,Antrim Area Hospital,Operational,small_red,0.66
56.28777778,-4.948611111,Ardkinglass/Clachan Flats,Operational,small_red,15.03
55.68583333,-4.807222222,Ardrossan,Operational,small_red,24
55.68583333,-4.807222222,Ardrossan Extension,Operational,small_red,6
55.05333333,-4.882222222,Arecleoch,Operational,small_red,120
56.57166667,-3.049722222,Ark Hill,Consented,measle_turquoise,
54.27611111,-2.641944444,Armistead,Consented,measle_turquoise,
58.17833333,-6.4275,Arnish Moor,Operational,small_red,3.9
54.96611111,-4.766388889,Artfield Fell,Operational,small_red,19.5
54.96611111,-4.766388889,Artfield Fell Ext (Balmurrie),Consented,measle_turquoise,
56.01833333,-3.764444444,"ASDA depot, New Bankside Industrial Estate",Consented,measle_turquoise,
52.78166667,-0.935555556,Asfordby,In planning,measle_grey,
54.18722222,-3.172222222,Askam,Operational,small_red,4.62
55.22222222,-4.814166667,Assel Valley,In planning,measle_grey,
55.21527778,-3.649166667,Auchencairn,In planning,measle_grey,
57.40722222,-1.933333333,Auchenten,In planning,measle_grey,
57.57972222,-2.041666667,Auchtygills Farm,Consented,measle_turquoise,
53.29527778,-1.088055556,B&amp;Q Worksop,Operational,small_red,2
53.63722222,-0.632777778,Bagmoor,Operational,small_red,16
58.38083333,-6.495833333,Baile an Truseil Wind Energy Project,Consented,measle_turquoise,
58.38083333,-6.495833333,Baile an Truseil Wind Energy Project Phase 1,Consented,measle_turquoise,
58.38083333,-6.495833333,Baile an Truseil Wind Energy Project Phase 2,Consented,measle_turquoise,
58.04777778,-4.127777778,Baillie Wind farm - Bardnaheigh Farm,Under construction,small_blue,
54.64111111,-5.664444444,Balloo Wood,Operational,small_red,0.8
54.87083333,-7.383055556,Ballylaw,In planning,measle_grey,
54.87666667,-6.233333333,Ballymena Michelin Tyre Factory,Consented,measle_turquoise,
54.38472222,-7.538333333,Ballyreagh / Tempo,Consented,measle_turquoise,
57.58666667,-2.863055556,Balnamoon Farm,Operational,small_red,0.8
53.32111111,0.2325,Bambers Farm,Operational,small_red,4.8
53.3275,0.2325,Bambers Farm II,Operational,small_red,4.8
54.87416667,-4.769444444,Barlockhart Wind Farm,Consented,measle_turquoise,
55.65527778,-2.033333333,Barmoor South Moor,Consented,measle_turquoise,
55.03861111,-3.768333333,Barnbackle,In planning,measle_grey,
52.45055556,-0.585,Barnwell Manor,In planning,measle_grey,
53.98333333,-3.283333333,Barrow,Operational,small_red,90
52.61916667,-3.831666667,BDCR II,Operational,small_red,0.5
50.47305556,-4.953055556,Bears Down,Operational,small_red,9.6
58.10555556,-3.093055556,Beatrice,Operational,small_red,10
51.70805556,-0.436944444,Beaufort Court (RES Office),Operational,small_red,0.225
50.93972222,-3.956944444,Bedport Poultry Farm,In planning,measle_grey,
55.56555556,-5.57,Beinn an Tuirc,Operational,small_red,30.36
55.56555556,-5.57,Beinn an Tuirc Extension,Under construction,small_blue,
56.38305556,-5.272222222,Beinn Ghlas,Operational,small_red,8.4
58.20944444,-6.487777778,Beinn Ghrideag Community Wind Farm,Consented,measle_turquoise,
57.80166667,-4.332222222,Beinn Tharsuinn,Operational,small_red,30
57.80166667,-4.332222222,Beinn Tharsuinn extension (Beinn nan Oighrean),Operational,small_red,4.6
57.115,-4.933055556,Beinneun,In planning,measle_grey,
57.42916667,-6.455,Ben Aketil,Operational,small_red,23
57.42722222,-6.448611111,Ben Aketil extension,Operational,small_red,4.6
51.69472222,-2.410277778,Berkeley Vale,In planning,measle_grey,
58.82916667,-2.933611111,Berriedale Farm,In planning,measle_grey,
57.60972222,-3.62,Berry Burn,Consented,measle_turquoise,
54.68,-7.403333333,Bessy Bell,Operational,small_red,5
54.7225,-7.374722222,Bessy Bell Extension,Operational,small_red,9
58.52416667,-4.223611111,Bettyhill,In planning,measle_grey,
52.92611111,-0.216388889,Bicker Fen,Operational,small_red,26
52.31722222,-0.387777778,Bicton,In planning,measle_grey,
52.05444444,-0.248333333,Biggleswade,Consented,measle_turquoise,
54.705,-7.591111111,Bin Mountain,Operational,small_red,9
22.6425,-38.13138889,Binnwaooda,In planning,measle_grey,
54.0025,-1.510277778,Bishopwood,In planning,measle_grey,
51.19222222,-2.986388889,Black Ditch,In planning,measle_grey,
55.79833333,-2.433888889,Black Hill,Operational,small_red,28.6
55.76694444,-3.738888889,Black Law 1 (Construction Phase 1),Operational,small_red,96.6
55.76694444,-3.738888889,Black Law 1 (Construction Phase 2),Operational,small_red,27.6
55.76694444,-3.738888889,Black Law 1 (Construction Phase 3),Consented,measle_turquoise,
